TERM;POSITION;WORD;TYPE;MODE;URI;CURRENT_TERM;AMBIGUOUS;ANOTHER_MEANING;ANOTHER_MEANING_URI;DESCRIPTION;GAZETTEER;VERIFICATION;GEO
c'id;224;38;NPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;271;46;NPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;531;92;NPN;FT; ; ;NO; ; ; ; ;NO; 
albarffanez;578;100;PPN;FT; ; ;NO; ; ; ; ;NO; 
Ruy;627;108;PPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;622;107;NPN;FT; ; ;NO; ; ; ; ;NO; 
diaz;631;109;PPN;FT; ; ;NO; ; ; ; ;NO; 
Dios;855;146;DPN;FT; ; ;NO; ; ; ; ;NO; 
le;910;155;PPN;FT; ; ;NO; ; ; ; ;NO; 
alfonsso;961;166;PPN;FT; ; ;NO; ; ; ; ;NO; 
Ruy;1103;192;PPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;1098;191;NPN;FT; ; ;NO; ; ; ; ;NO; 
diaz;1107;193;PPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;1336;235;NPN;FT; ; ;NO; ; ; ; ;NO; 
campeador;1368;242;NPN;FT; ; ;NO; ; ; ; ;NO; 
alfonsso;1466;259;PPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;1576;280;NPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;1660;295;NPN;FT; ; ;NO; ; ; ; ;NO; 
campeador;1819;327;NPN;FT; ; ;NO; ; ; ; ;NO; 
C'id;0;2075;NPN;FT; ; ;NO; ; ; ; ;NO; 
criador;2126;383;DPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;2229;404;NPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;224;38;NPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;271;46;NPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;531;92;NPN;FT; ; ;NO; ; ; ; ;NO; 
albarffanez;578;100;PPN;FT; ; ;NO; ; ; ; ;NO; 
Ruy;627;108;PPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;622;107;NPN;FT; ; ;NO; ; ; ; ;NO; 
diaz;631;109;PPN;FT; ; ;NO; ; ; ; ;NO; 
Dios;855;146;DPN;FT; ; ;NO; ; ; ; ;NO; 
le;910;155;PPN;FT; ; ;NO; ; ; ; ;NO; 
alfonsso;961;166;PPN;FT; ; ;NO; ; ; ; ;NO; 
Ruy;1103;192;PPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;1098;191;NPN;FT; ; ;NO; ; ; ; ;NO; 
diaz;1107;193;PPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;1336;235;NPN;FT; ; ;NO; ; ; ; ;NO; 
campeador;1368;242;NPN;FT; ; ;NO; ; ; ; ;NO; 
alfonsso;1466;259;PPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;1576;280;NPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;1660;295;NPN;FT; ; ;NO; ; ; ; ;NO; 
campeador;1819;327;NPN;FT; ; ;NO; ; ; ; ;NO; 
C'id;0;2075;NPN;FT; ; ;NO; ; ; ; ;NO; 
criador;2126;383;DPN;FT; ; ;NO; ; ; ; ;NO; 
c'id;2229;404;NPN;FT; ; ;NO; ; ; ; ;NO; 
