TERM;POSITION;WORD;TYPE;MODE;URI;CURRENT_TERM;AMBIGUOUS;ANOTHER_MEANING;ANOTHER_MEANING_URI;DESCRIPTION;GAZETTEER;VERIFICATION;GEO
sennor;308;54;RNH;FT; ; ; ; ; ; ; ; 
vassalo;869;149;RNA;FT; ; ; ; ; ; ; ; 
Sennor;893;153;RNH;FT; ; ; ; ; ; ; ; 
Rey;956;165;RNA;FT; ; ; ; ; ; ; ; 
don;957;165;RNH;FT; ; ; ; ; ; ; ; 
Rey;1465;259;RNA;PPT; ; ; ; ; ; ; ; 
Rey;1868;335;RNA;FT; ; ; ; ; ; ; ; 
Rey;2246;408;RNA;PPT; ; ; ; ; ; ; ; 
santa;2314;419;RNS;FT; ; ; ; ; ; ; ; 
sennor;308;54;RNH;FT; ; ; ; ; ; ; ; 
vassalo;869;149;RNA;FT; ; ; ; ; ; ; ; 
Sennor;893;153;RNH;FT; ; ; ; ; ; ; ; 
Rey;956;165;RNA;FT; ; ; ; ; ; ; ; 
don;957;165;RNH;FT; ; ; ; ; ; ; ; 
Rey;1465;259;RNA;PPT; ; ; ; ; ; ; ; 
Rey;1868;335;RNA;FT; ; ; ; ; ; ; ; 
Rey;2246;408;RNA;PPT; ; ; ; ; ; ; ; 
santa;2314;419;RNS;FT; ; ; ; ; ; ; ; 
